fecha;pasos;diasemana;dia;mes;año;estacion;findesemana;semana
27/4/2021;3.231;martes;27;abril;2021;otoño;no;18
28/4/2021;3.273;miercoles;28;abril;2021;otoño;no;18
29/4/2021;3.363;jueves;29;abril;2021;otoño;no;18
30/4/2021;4.648;viernes;30;abril;2021;otoño;no;18
1/5/2021;4.238;sabado;1;mayo;2021;otoño;si;18
2/5/2021;4.186;domingo;2;mayo;2021;otoño;si;18
3/5/2021;2.972;lunes;3;mayo;2021;otoño;no;19
4/5/2021;3.633;martes;4;mayo;2021;otoño;no;19
5/5/2021;3.958;miercoles;5;mayo;2021;otoño;no;19
6/5/2021;4.228;jueves;6;mayo;2021;otoño;no;19
7/5/2021;3.092;viernes;7;mayo;2021;otoño;no;19
8/5/2021;5.804;sabado;8;mayo;2021;otoño;si;19
9/5/2021;3.981;domingo;9;mayo;2021;otoño;si;19
10/5/2021;2.774;lunes;10;mayo;2021;otoño;no;20
11/5/2021;3.242;martes;11;mayo;2021;otoño;no;20
12/5/2021;3.156;miercoles;12;mayo;2021;otoño;no;20
13/5/2021;5.148;jueves;13;mayo;2021;otoño;no;20
14/5/2021;2.860;viernes;14;mayo;2021;otoño;no;20
15/5/2021;2.678;sabado;15;mayo;2021;otoño;si;20
16/5/2021;4.945;domingo;16;mayo;2021;otoño;si;20
17/5/2021;3.481;lunes;17;mayo;2021;otoño;no;21
18/5/2021;3.131;martes;18;mayo;2021;otoño;no;21
19/5/2021;2.732;miercoles;19;mayo;2021;otoño;no;21
20/5/2021;4.852;jueves;20;mayo;2021;otoño;no;21
21/5/2021;4.044;viernes;21;mayo;2021;otoño;no;21
22/5/2021;3.166;sabado;22;mayo;2021;otoño;si;21
23/5/2021;2.809;domingo;23;mayo;2021;otoño;si;21
24/5/2021;3.783;lunes;24;mayo;2021;otoño;no;22
25/5/2021;3.297;martes;25;mayo;2021;otoño;no;22
26/5/2021;3.220;miercoles;26;mayo;2021;otoño;no;22
27/5/2021;3.241;jueves;27;mayo;2021;otoño;no;22
28/5/2021;10.440;viernes;28;mayo;2021;otoño;no;22
29/5/2021;2.961;sabado;29;mayo;2021;otoño;si;22
30/5/2021;3.102;domingo;30;mayo;2021;otoño;si;22
31/5/2021;2.846;lunes;31;mayo;2021;otoño;no;23
1/6/2021;6.424;martes;1;junio;2021;otoño;no;23
2/6/2021;2.801;miercoles;2;junio;2021;otoño;no;23
3/6/2021;3.372;jueves;3;junio;2021;otoño;no;23
4/6/2021;4.915;viernes;4;junio;2021;otoño;no;23
5/6/2021;2.554;sabado;5;junio;2021;otoño;si;23
6/6/2021;8.394;domingo;6;junio;2021;otoño;si;23
7/6/2021;4.540;lunes;7;junio;2021;otoño;no;24
8/6/2021;9.687;martes;8;junio;2021;otoño;no;24
9/6/2021;6.841;miercoles;9;junio;2021;otoño;no;24
10/6/2021;9.651;jueves;10;junio;2021;otoño;no;24
11/6/2021;7.150;viernes;11;junio;2021;otoño;no;24
12/6/2021;4.630;sabado;12;junio;2021;otoño;si;24
13/6/2021;6.249;domingo;13;junio;2021;otoño;si;24
14/6/2021;8.312;lunes;14;junio;2021;otoño;no;25
15/6/2021;15.027;martes;15;junio;2021;otoño;no;25
16/6/2021;4.274;miercoles;16;junio;2021;otoño;no;25
17/6/2021;4.507;jueves;17;junio;2021;otoño;no;25
18/6/2021;16.580;viernes;18;junio;2021;otoño;no;25
19/6/2021;7.151;sabado;19;junio;2021;otoño;si;25
20/6/2021;6.555;domingo;20;junio;2021;otoño;si;25
21/6/2021;7.518;lunes;21;junio;2021;invierno;no;26
22/6/2021;18.015;martes;22;junio;2021;invierno;no;26
23/6/2021;5.709;miercoles;23;junio;2021;invierno;no;26
24/6/2021;3.631;jueves;24;junio;2021;invierno;no;26
25/6/2021;6.685;viernes;25;junio;2021;invierno;no;26
26/6/2021;3.275;sabado;26;junio;2021;invierno;si;26
27/6/2021;5.188;domingo;27;junio;2021;invierno;si;26
28/6/2021;4.767;lunes;28;junio;2021;invierno;no;27
29/6/2021;10.510;martes;29;junio;2021;invierno;no;27
30/6/2021;3.479;miercoles;30;junio;2021;invierno;no;27
1/7/2021;4.505;jueves;1;julio;2021;invierno;no;27
2/7/2021;6.374;viernes;2;julio;2021;invierno;no;27
3/7/2021;5.000;sabado;3;julio;2021;invierno;si;27
4/7/2021;6.416;domingo;4;julio;2021;invierno;si;27
5/7/2021;7.108;lunes;5;julio;2021;invierno;no;28
6/7/2021;3.921;martes;6;julio;2021;invierno;no;28
7/7/2021;4.662;miercoles;7;julio;2021;invierno;no;28
8/7/2021;4.583;jueves;8;julio;2021;invierno;no;28
9/7/2021;8.741;viernes;9;julio;2021;invierno;no;28
10/7/2021;4.630;sabado;10;julio;2021;invierno;si;28
11/7/2021;4.451;domingo;11;julio;2021;invierno;si;28
12/7/2021;8.599;lunes;12;julio;2021;invierno;no;29
13/7/2021;9.122;martes;13;julio;2021;invierno;no;29
14/7/2021;4.127;miercoles;14;julio;2021;invierno;no;29
15/7/2021;11.284;jueves;15;julio;2021;invierno;no;29
16/7/2021;8.985;viernes;16;julio;2021;invierno;no;29
17/7/2021;10.387;sabado;17;julio;2021;invierno;si;29
18/7/2021;3.694;domingo;18;julio;2021;invierno;si;29
19/7/2021;6.251;lunes;19;julio;2021;invierno;no;30
20/7/2021;6.804;martes;20;julio;2021;invierno;no;30
21/7/2021;9.145;miercoles;21;julio;2021;invierno;no;30
22/7/2021;6.851;jueves;22;julio;2021;invierno;no;30
23/7/2021;14.088;viernes;23;julio;2021;invierno;no;30
24/7/2021;8.691;sabado;24;julio;2021;invierno;si;30
25/7/2021;6.431;domingo;25;julio;2021;invierno;si;30
26/7/2021;6.140;lunes;26;julio;2021;invierno;no;31
27/7/2021;7.487;martes;27;julio;2021;invierno;no;31
28/7/2021;9.056;miercoles;28;julio;2021;invierno;no;31
29/7/2021;15.886;jueves;29;julio;2021;invierno;no;31
30/7/2021;14.844;viernes;30;julio;2021;invierno;no;31
31/7/2021;14.204;sabado;31;julio;2021;invierno;si;31
1/8/2021;12.106;domingo;1;agosto;2021;invierno;si;31
2/8/2021;6.495;lunes;2;agosto;2021;invierno;no;32
3/8/2021;5.577;martes;3;agosto;2021;invierno;no;32
4/8/2021;5.139;miercoles;4;agosto;2021;invierno;no;32
5/8/2021;4.248;jueves;5;agosto;2021;invierno;no;32
6/8/2021;12.624;viernes;6;agosto;2021;invierno;no;32
7/8/2021;10.394;sabado;7;agosto;2021;invierno;si;32
8/8/2021;8.782;domingo;8;agosto;2021;invierno;si;32
9/8/2021;4.671;lunes;9;agosto;2021;invierno;no;33
10/8/2021;5.998;martes;10;agosto;2021;invierno;no;33
11/8/2021;2.881;miercoles;11;agosto;2021;invierno;no;33
12/8/2021;7.002;jueves;12;agosto;2021;invierno;no;33
13/8/2021;3.997;viernes;13;agosto;2021;invierno;no;33
14/8/2021;5.462;sabado;14;agosto;2021;invierno;si;33
15/8/2021;5.339;domingo;15;agosto;2021;invierno;si;33
16/8/2021;4.596;lunes;16;agosto;2021;invierno;no;34
17/8/2021;3.280;martes;17;agosto;2021;invierno;no;34
18/8/2021;3.166;miercoles;18;agosto;2021;invierno;no;34
19/8/2021;4.222;jueves;19;agosto;2021;invierno;no;34
20/8/2021;3.546;viernes;20;agosto;2021;invierno;no;34
21/8/2021;3.448;sabado;21;agosto;2021;invierno;si;34
22/8/2021;3.045;domingo;22;agosto;2021;invierno;si;34
23/8/2021;3.764;lunes;23;agosto;2021;invierno;no;35
24/8/2021;4.367;martes;24;agosto;2021;invierno;no;35
25/8/2021;2.620;miercoles;25;agosto;2021;invierno;no;35
26/8/2021;2.410;jueves;26;agosto;2021;invierno;no;35
27/8/2021;3.240;viernes;27;agosto;2021;invierno;no;35
28/8/2021;5.998;sabado;28;agosto;2021;invierno;si;35
29/8/2021;6.523;domingo;29;agosto;2021;invierno;si;35
30/8/2021;2.991;lunes;30;agosto;2021;invierno;no;36
31/8/2021;2.976;martes;31;agosto;2021;invierno;no;36
1/9/2021;5.141;miercoles;1;septiembre;2021;invierno;no;36
2/9/2021;2.843;jueves;2;septiembre;2021;invierno;no;36
3/9/2021;4.715;viernes;3;septiembre;2021;invierno;no;36
4/9/2021;3.342;sabado;4;septiembre;2021;invierno;si;36
5/9/2021;4.295;domingo;5;septiembre;2021;invierno;si;36
6/9/2021;3.322;lunes;6;septiembre;2021;invierno;no;37
7/9/2021;3.035;martes;7;septiembre;2021;invierno;no;37
8/9/2021;6.210;miercoles;8;septiembre;2021;invierno;no;37
9/9/2021;3.100;jueves;9;septiembre;2021;invierno;no;37
10/9/2021;3.816;viernes;10;septiembre;2021;invierno;no;37
11/9/2021;4.235;sabado;11;septiembre;2021;invierno;si;37
12/9/2021;6.155;domingo;12;septiembre;2021;invierno;si;37
13/9/2021;3.282;lunes;13;septiembre;2021;invierno;no;38
14/9/2021;3.326;martes;14;septiembre;2021;invierno;no;38
