fecha	pasos	diasemana	numerosemana	dia	mes	año	estacion	cuarentena	findesemana
5/1/2020	5.379	domingo	1	5	enero	2020	verano	no	si
6/1/2020	10.866	lunes	2	6	enero	2020	verano	no	no
7/1/2020	8.709	martes	2	7	enero	2020	verano	no	no
8/1/2020	6.449	miercoles	2	8	enero	2020	verano	no	no
9/1/2020	10.573	jueves	2	9	enero	2020	verano	no	no
10/1/2020	9.267	viernes	2	10	enero	2020	verano	no	no
11/1/2020	944	sabado	2	11	enero	2020	verano	no	si
12/1/2020	3.650	domingo	2	12	enero	2020	verano	no	si
13/1/2020	1.714	lunes	3	13	enero	2020	verano	no	no
14/1/2020	6.917	martes	3	14	enero	2020	verano	no	no
15/1/2020	10.321	miercoles	3	15	enero	2020	verano	no	no
16/1/2020	10.916	jueves	3	16	enero	2020	verano	no	no
17/1/2020	15.788	viernes	3	17	enero	2020	verano	no	no
18/1/2020	14.108	sabado	3	18	enero	2020	verano	no	si
19/1/2020	9.930	domingo	3	19	enero	2020	verano	no	si
20/1/2020	9.099	lunes	4	20	enero	2020	verano	no	no
21/1/2020	2.895	martes	4	21	enero	2020	verano	no	no
22/1/2020	4.191	miercoles	4	22	enero	2020	verano	no	no
23/1/2020	6.849	jueves	4	23	enero	2020	verano	no	no
24/1/2020	8.796	viernes	4	24	enero	2020	verano	no	no
25/1/2020	8.199	sabado	4	25	enero	2020	verano	no	si
26/1/2020	5.867	domingo	4	26	enero	2020	verano	no	si
27/1/2020	8.689	lunes	5	27	enero	2020	verano	no	no
28/1/2020	18.140	martes	5	28	enero	2020	verano	no	no
29/1/2020	6.682	miercoles	5	29	enero	2020	verano	no	no
30/1/2020	8.984	jueves	5	30	enero	2020	verano	no	no
31/1/2020	18.120	viernes	5	31	enero	2020	verano	no	no
1/2/2020	17.137	sabado	5	1	febrero	2020	verano	no	si
2/2/2020	11.892	domingo	5	2	febrero	2020	verano	no	si
3/2/2020	10.952	lunes	6	3	febrero	2020	verano	no	no
4/2/2020	5.066	martes	6	4	febrero	2020	verano	no	no
5/2/2020	18.719	miercoles	6	5	febrero	2020	verano	no	no
6/2/2020	17.878	jueves	6	6	febrero	2020	verano	no	no
7/2/2020	4.725	viernes	6	7	febrero	2020	verano	no	no
8/2/2020	2.901	sabado	6	8	febrero	2020	verano	no	si
9/2/2020	10.434	domingo	6	9	febrero	2020	verano	no	si
